Job title,Company name,Date,Location,Skills,Links,Salary,Responsibility
Junior Python Developer,RDI -,4 days ago,"Dokki, Giza, Egypt",Full TimeHybridEntry Level · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python · MySQL · JavaScript · React · Angular · RESTful · Django,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/xJp7GQsxL0de-Junior-Python-Developer-RDI-Giza-Egypt,N/A,N/A
Technical Lead (Python Django & React Native),Money Loop  -,5 days ago,"New Cairo, Cairo, Egypt",Full TimeHybridManager · 8 - 15 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Python Django · React Native · Node.js · Continues Integration (CI) · Continuous Delivery (CD) · DevOps · Github Actions,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/OIf0OxgJ527L-Technical-Lead-Python-Django-React-Native-Money-Loop-Cairo-Egypt,N/A,N/A
Full-Stack Python Team Leader (Django/React),RDI -,3 days ago,"Dokki, Giza, Egypt",Full TimeHybridExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/lUjXG5LrSPSE-Full-Stack-Python-Team-Leader-DjangoReact-RDI-Giza-Egypt,N/A,N/A
Python Developer,Digizilla -,5 days ago,"Cairo, Egypt",Full TimeOn-siteEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Flask · Software Development · Information Technology (IT) · Python · Programming · JavaScript,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Yr23wrOTNJzg-Python-Developer-Digizilla-Cairo-Egypt,N/A,N/A
Senior Python Developer,Visionare -,4 days ago,"Alexandria, Egypt",Full TimeHybridExperienced · 5 - 20 Yrs of Exp · IT/Software Development · Senior Python Developer · Python · Django · Flask · RESTful APIs · PostgreSQL · MySQL · Docker · Kubernetes,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/xg3DZrKJMRLu-Senior-Python-Developer-Visionare-Alexandria-Egypt,N/A,N/A
Software Engineer (Python),Wakeb Data -,6 days ago,"Mohandessin, Giza, Egypt",Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · API · Python,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/yxYzhmhEWh70-Software-Engineer-Python-Wakeb-Data-Giza-Egypt,N/A,N/A
Python Developer,coto -,6 days ago,"Cairo, Egypt",Full TimeRemoteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Django · API · AI · Data Processing · Computer Science · Docker · Engineering · Information Technology (IT) · MongoDB,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/GrjY4GUkc4jz-Python-Developer-coto-Cairo-Egypt,N/A,N/A
Senior python backend developer.,Pioneers Now -,4 days ago,"Nasr City, Cairo, Egypt",Full TimeHybridExperienced · 5 - 8 Yrs of Exp · males_only · Business Development · IT/Software Development · Marketing/PR/Advertising · backend · Software · Software Development · Web Development,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/elLKZgBCFIgA-Senior-python-backend-developer-Pioneers-Now-Cairo-Egypt,N/A,N/A
Data Analyst,Options -,16 days ago,"Cairo, Egypt",Full TimeRemoteExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Analyst/Research · Analysis · Analyst · Computer Science · Python · SQL · AWS · Information Technology (IT),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/L0E2Pq7S2bqQ-Data-Analyst-Options-Cairo-Egypt,N/A,N/A
Senior AI Engineer,Lumin -,19 days ago,"Sheikh Zayed, Giza, Egypt",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/qZt8hX89HQtt-Senior-AI-Engineer-Lumin-Giza-Egypt,N/A,N/A
Django Developer,Confidential -,1 month ago,"Sheikh Zayed, Giza, Egypt",Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Back-End Development · Amazon AWS · Computer Science · Engineering · CSS · Git,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/rpCUsaudVIY2-Django-Developer-Giza-Egypt,N/A,N/A
Integration Specialist,Confidential -,1 month ago,"Nasr City, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Information Technology (IT) · Integration · Java · JSON · ETL · Programming · JavaScript,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/RJtXTHhKeht0-Integration-Specialist-Cairo-Egypt,N/A,N/A
ICT/ Coding Teacher - 6 of October City,Confidential -,1 month ago,"6th of October, Giza, Egypt",Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · Education/Teaching · Education · ICT · Computer Science · Teaching · Teacher · UK Curriculum · PGCE · python · JavaScript,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/6dAG2X9eErAD-ICT-Coding-Teacher---6-of-October-City-Giza-Egypt,N/A,N/A
